AR,GnRHR3,ESR1,ESR2,FSHB,PGR,Morph,Sex,Data_type
7.96E-02,1.38E-02,0.1661,5.40E-03,1.252,0.144,Ind,Male,qPCR
0.1525,,0.438,1.65E-02,1.697,0.4324,Ind,Male,qPCR
0.6717,8.50E-02,0.9445,4.76E-03,4.037,0.421,Ind,Male,qPCR
0.4687,3.41E-02,0.8713,2.19E-03,1.777,0.4394,Ind,Male,qPCR
0.3365,1.51E-02,0.5436,4.95E-03,3.345,0.4574,Ind,Male,qPCR
0.4238,8.95E-02,0.8843,4.16E-03,8.187,0.5167,Ind,Male,qPCR
0.368,0.1212,0.914,3.08E-03,4.285,0.3638,Ind,Male,qPCR
0.4308,4.40E-02,1.024,5.07E-03,2.486,0.4526,Ind,Male,qPCR
0.1628,2.49E-03,0.3658,5.13E-03,0.2236,0.1833,Ind,Male,qPCR
0.4737,3.19E-02,0.7781,3.41E-03,6.786,0.37,Ind,Male,qPCR
0.5558,9.01E-02,1.444,2.99E-03,1.738,0.3076,Ind,Male,qPCR
0.5135,5.72E-02,1.002,4.70E-03,3.848,0.435,Ind,Male,qPCR
0.5611,0.3623,1.039,4.62E-03,10.21,0.4757,Ind,Male,qPCR
0.439,4.65E-02,0.751,4.26E-03,2.094,0.2797,Ind,Male,qPCR
0.3449,0.1039,0.744,3.03E-03,6.201,0.5116,Ind,Male,qPCR
0.3674,0.1583,0.6844,3.27E-03,6.574,0.3053,Ind,Male,qPCR
0.1475,4.12E-03,0.3648,2.69E-02,2.863,0.2491,Sat,Male,qPCR
0.4077,8.86E-02,0.7479,2.89E-03,6.196,0.3494,Sat,Male,qPCR
0.5497,8.44E-02,0.7813,3.21E-03,5.952,0.3982,Sat,Male,qPCR
0.4464,8.72E-02,0.9331,5.16E-03,4.421,0.343,Sat,Male,qPCR
0.3249,9.92E-02,0.8261,4.08E-03,3.453,0.2363,Sat,Male,qPCR
0.2915,9.87E-02,0.6668,2.58E-03,18.25,0.3201,Sat,Male,qPCR
0.2399,7.72E-02,0.6775,3.25E-03,9.771,0.3624,Sat,Male,qPCR
0.3456,9.37E-02,0.8354,3.63E-03,13.02,0.2757,Sat,Male,qPCR
0.3644,5.31E-02,0.7278,2.84E-03,6.981,0.1524,Fae,Male,qPCR
5.65E-02,5.87E-03,0.1172,2.95E-02,2.356,8.05E-02,Fae,Male,qPCR
0.4767,9.26E-02,0.8407,2.82E-03,6.821,0.3426,Fae,Male,qPCR
0.36,7.56E-02,1.143,5.40E-03,2.846,0.1749,Fae,Male,qPCR
0.3405,5.93E-02,0.7524,2.53E-03,11.94,0.2046,Fae,Male,qPCR
2.42E-02,NA,9.70E-02,NA,0.6365,5.86E-02,Fae,Male,qPCR
0.388,0.1085,0.6505,1.75E-03,5.533,0.1819,Fae,Male,qPCR
0.4396,8.25E-02,1.042,3.73E-03,5.865,0.2412,Fae,Male,qPCR
0.5115,9.70E-02,0.8994,3.15E-03,5.31,0.2894,Fae,Male,qPCR
