Comparison,Pvalue,Padjust,CI,Odds_ratio
Fae vs. Ind - Adr,1.41E-15,7.83E-15,17.85222 69.87327,36.54846
Fae vs. Ind - Blo,0.0007351,0.000895903,2.137413 14.284305,6.111831
Fae vs. Ind - Gon,3.61E-09,8.17E-09,8.51879 41.18769,19.88363
Fae vs. Ind - Hyp,1.05E-15,6.83E-15,8.318017 24.575162,14.6003
Fae vs. Ind - Liv,2.29E-06,3.44E-06,8.344316 75.869691,28.22529
Fae vs. Ind - LS,1.71E-13,8.34E-13,21.22372 105.25556,49.38911
Fae vs. Ind - NC,6.02E-12,2.00E-11,24.81095 161.00178,66.3498
Fae vs. Ind - Pit,0.00118,0.001394545,1.428270 4.555865,2.628581
Fae vs. Ind - POM,4.15E-13,1.80E-12,25.28669 144.36005,63.20684
Fae vs. Ind - Rap,2.20E-16,2.15E-15,56.13281 223.50361,113.3368
Fae vs. Ind - A+TnA,3.46E-09,8.17E-09,13.79451 90.82550,38.02623
Fae vs. Ind - VTA+SN,2.20E-16,2.15E-15,36.24618 142.13960,73.538
Sat vs. Ind - Adr,0.0001109,0.000139519,4.64505 52.24399,18.27478
Sat vs. Ind - Blo,6.39E-05,8.31E-05,5.392685 63.683264,21.60835
Sat vs. Ind - Gon,9.46E-07,1.54E-06,10.03843 92.77354,34.12466
Sat vs. Ind - Hyp,3.73E-08,6.93E-08,3.489076 11.246874,6.451342
Sat vs. Ind - Liv,0.006704,0.007262667,2.017385 78.034540,18.20208
Sat vs. Ind - LS,3.77E-09,8.17E-09,8.482586 41.255104,19.8283
Sat vs. Ind - NC,1.41E-11,4.23E-11,22.10437 138.86470,58.36531
Sat vs. Ind - Pit,1.10E-05,1.59E-05,3.966666 22.897225,10.36284
Sat vs. Ind - POM,6.14E-12,2.00E-11,18.28534 97.54701,44.37985
Sat vs. Ind - Rap,2.20E-16,2.15E-15,31.42815 135.00443,66.86275
Sat vs. Ind - A+TnA,3.40E-09,8.17E-09,10.57655 58.37811,26.49926
Sat vs. Ind - VTA+SN,1.03E-15,6.83E-15,18.34229 72.51811,37.674
Fae vs. Sat - Adr,1.29E-08,2.52E-08,11.27738 71.20687,30.59032
Fae vs. Sat - Blo,0.309,0.309,0.06817434 16.58778965,2.776324
Fae vs. Sat - Gon,0.09741,0.099973421,0.246409 67.738662,10.39788
Fae vs. Sat - Hyp,7.10E-09,1.46E-08,17.42419 144.87271,54.30124
Fae vs. Sat - Liv,0.008821,0.009297811,1.746361 65.421027,15.59448
Fae vs. Sat - LS,6.07E-08,1.08E-07,11.90046 90.54371,35.86047
Fae vs. Sat - NC,0.003971,0.004554971,2.651217 108.654730,24.36072
Fae vs. Sat - Pit,0.004784,0.005330743,1.453398 9.408653,4.103551
Fae vs. Sat - POM,3.83E-07,6.49E-07,20.82883 392.90232,98.71674
Fae vs. Sat - Rap,1.06E-06,1.65E-06,9.815494 91.340202,33.47114
Fae vs. Sat - A+TnA,4.74E-05,6.37E-05,9.521011 225.991820,55.50883
Fae vs. Sat - VTA+SN,3.62E-09,8.17E-09,19.66399 170.70502,62.36419
Fae vs. Ind - Phenotype,2.20E-16,2.15E-15,5.324305 12.452562,8.145178
Sat vs. Ind - Phenotype,2.22E-12,8.66E-12,3.518201 8.631744,5.556502
Fae vs. Sat - Phenotype,4.40E-05,6.13E-05,1.778529 5.019421,3.048701
